Condition ;ID;Time;MassAdult;MassPS;MadultIni;MPSIni
PST1;1;0;0;0;22.68;35.12
PST1;2;0;0;0;26.42;33.45
PST1;3;0;0;0;21.13;31.44
PST1;4;0;0;0;26;38.58
PST1;5;0;0;0;23.91;37.91
PST1;6;0;0;0;23.07;32.44
PST1;7;0;0;0;23.8;35.11
PST1;8;0;0;0;17.84;39.94
PST1;9;0;0;0;20.38;28.33
PST1;10;0;0;0;24.22;37.39
PST2;11;0;0;0;25.3;31.69
PST2;12;0;0;0;24.92;31.85
PST2;13;0;0;0;19.58;36.54
PST2;14;0;0;0;23.13;34.88
PST2;15;0;0;0;22.16;33.14
PST2;16;0;0;0;22.75;33.51
PST2;17;0;0;0;23.15;34.31
PST2;18;0;0;0;19.45;37.6
PST2;19;0;0;0;26.49;32.92
PST2;20;0;0;0;26.45;32.91
PST3;21;0;0;0;19.76;36.58
PST3;22;0;0;0;21.07;34.34
PST3;23;0;0;0;22.07;27.82
PST3;24;0;0;0;24.53;36.63
PST3;25;0;0;0;18.39;36.45
PST3;26;0;0;0;18.95;26.27
PST3;27;0;0;0;22.52;30.62
PST3;28;0;0;0;21.27;20.09
PST3;29;0;0;0;19.82;21.12
PST3;30;0;0;0;25.37;35.12
PST4;31;0;0;0;21.38;34.51
PST4;32;0;0;0;20.65;32.52
PST4;33;0;0;0;17.49;30.7
PST4;34;0;0;0;20.16;29.86
PST4;35;0;0;0;24.26;29.93
PST4;36;0;0;0;21.03;30.36
PST4;37;0;0;0;21.73;30.18
PST4;38;0;0;0;25.16;30.82
PST4;39;0;0;0;24.07;35.32
PST4;40;0;0;0;28;31.41
PST1+C;41;0;0;0;20.17;30.28
PST1+C;42;0;0;0;21.8;30.25
PST1+C;43;0;0;0;18.85;31.26
PST1+C;44;0;0;0;17.85;32.57
PST1+C;45;0;0;0;21.1;36.22
PST1+C;46;0;0;0;23.94;35.18
PST1+C;47;0;0;0;21.73;32.04
PST1+C;48;0;0;0;18.08;36.72
PST1+C;49;0;0;0;21.65;31.74
PST1+C;50;0;0;0;19.03;31.06
PST2+C;51;0;0;0;20.33;28.28
PST2+C;52;0;0;0;24.2;28.14
PST2+C;53;0;0;0;26.98;33.47
PST2+C;54;0;0;0;28.74;35.02
PST2+C;55;0;0;0;26.02;27.35
PST2+C;56;0;0;0;15.56;30.09
PST2+C;57;0;0;0;21.93;30.89
PST2+C;58;0;0;0;20.4;38.49
PST2+C;59;0;0;0;23.18;32.43
PST2+C;60;0;0;0;16.66;30.68
PST3+C;61;0;0;0;22.7;23.09
PST3+C;62;0;0;0;25.13;19.6
PST3+C;63;0;0;0;21.46;21.31
PST3+C;64;0;0;0;23.13;29.49
PST3+C;65;0;0;0;23.97;34.23
PST3+C;66;0;0;0;19.4;24.49
PST3+C;67;0;0;0;14.84;25.5
PST3+C;68;0;0;0;19.21;30.75
PST3+C;69;0;0;0;24.3;33.04
PST3+C;70;0;0;0;21.92;21.44
PST4+C;71;0;0;0;24.24;31.09
PST4+C;72;0;0;0;23.69;34.02
PST4+C;73;0;0;0;22.12;26.51
PST4+C;74;0;0;0;21.55;31.04
PST4+C;75;0;0;0;17.35;31.8
PST4+C;76;0;0;0;21.85;35.9
PST4+C;77;0;0;0;18.96;31
PST4+C;78;0;0;0;26.72;31.75
PST4+C;79;0;0;0;20.41;31.05
PST4+C;80;0;0;0;24.25;30.83
C;81;0;0;;24.23;
C;82;0;0;;22.49;
C;83;0;0;;19.12;
C;84;0;0;;22.26;
C;85;0;0;;24.77;
C;86;0;0;;19.07;
C;87;0;0;;23.18;
C;88;0;0;;23.43;
C;89;0;0;;23.11;
C;90;0;0;;20.06;
ST;91;0;0;;29.29;
ST;92;0;0;;23.91;
ST;93;0;0;;25.35;
ST;94;0;0;;23.89;
ST;95;0;0;;15.77;
ST;96;0;0;;22.81;
ST;97;0;0;;25.47;
ST;98;0;0;;27.31;
ST;99;0;0;;28.83;
ST;100;0;0;;27.67;
PST1;1;2;2.35;-0.06;;
PST1;2;2;-0.61;-0.04;;
PST1;3;2;-0.89;-0.18;;
PST1;4;2;-0.43;-0.33;;
PST1;5;2;-0.8;-0.04;;
PST1;6;2;-0.73;-0.14;;
PST1;7;2;0.2;-0.55;;
PST1;8;2;1.67;0.09;;
PST1;9;2;-0.09;-0.05;;
PST1;10;2;0.05;-0.38;;
PST2;11;2;-1.05;-0.41;;
PST2;12;2;-0.42;-0.34;;
PST2;13;2;-0.85;-0.27;;
PST2;14;2;-0.86;-0.38;;
PST2;15;2;0.56;-0.18;;
PST2;16;2;-0.62;-0.24;;
PST2;17;2;-0.61;-0.18;;
PST2;18;2;-0.64;-0.08;;
PST2;19;2;-0.82;-0.43;;
PST2;20;2;1.4;-1.04;;
PST3;21;2;-0.62;-0.14;;
PST3;22;2;-0.81;-0.05;;
PST3;23;2;-0.57;-0.15;;
PST3;24;2;-1;-1.17;;
PST3;25;2;-0.02;-0.15;;
PST3;26;2;1.25;-0.18;;
PST3;27;2;4.71;-0.11;;
PST3;28;2;-0.58;-0.14;;
PST3;29;2;1.43;-0.18;;
PST3;30;2;1.78;0;;
PST4;31;2;-0.73;-0.08;;
PST4;32;2;-0.62;-0.07;;
PST4;33;2;0.23;-0.87;;
PST4;34;2;-0.59;-0.1;;
PST4;35;2;1.28;-1.05;;
PST4;36;2;3.28;-0.09;;
PST4;37;2;-0.65;-0.06;;
PST4;38;2;-0.95;-0.18;;
PST4;39;2;-1.1;-2.6;;
PST4;40;2;2.24;-1.4;;
PST1+C;41;2;-0.58;-0.04;;
PST1+C;42;2;0.02;0.28;;
PST1+C;43;2;1.88;0.03;;
PST1+C;44;2;-0.64;0.4;;
PST1+C;45;2;0.69;0.61;;
PST1+C;46;2;0.95;0.23;;
PST1+C;47;2;-1.1;-0.51;;
PST1+C;48;2;1.81;0.14;;
PST1+C;49;2;3.14;0.04;;
PST1+C;50;2;2.64;0.29;;
PST2+C;51;2;0.83;0.38;;
PST2+C;52;2;1.82;0.13;;
PST2+C;53;2;-2.02;-0.48;;
PST2+C;54;2;-0.04;0.19;;
PST2+C;55;2;0.34;0.17;;
PST2+C;56;2;-0.38;0.2;;
PST2+C;57;2;0.85;0.01;;
PST2+C;58;2;2.73;0.16;;
PST2+C;59;2;-0.5;0.02;;
PST2+C;60;2;1.93;0.22;;
PST3+C;61;2;2.37;-0.43;;
PST3+C;62;2;-0.05;-0.09;;
PST3+C;63;2;0.62;0.24;;
PST3+C;64;2;0.53;0.32;;
PST3+C;65;2;0.1;0.19;;
PST3+C;66;2;1.17;0.22;;
PST3+C;67;2;-0.31;0.23;;
PST3+C;68;2;-0.47;0.27;;
PST3+C;69;2;0.28;0.34;;
PST3+C;70;2;1.27;0.31;;
PST4+C;71;2;0.72;0.06;;
PST4+C;72;2;-1.43;-1.06;;
PST4+C;73;2;0.52;-0.56;;
PST4+C;74;2;-0.17;-0.19;;
PST4+C;75;2;1.39;-0.37;;
PST4+C;76;2;2.61;0.27;;
PST4+C;77;2;1.07;-0.89;;
PST4+C;78;2;-0.09;0.11;;
PST4+C;79;2;0.43;0.18;;
PST4+C;80;2;-1.07;0.24;;
C;81;2;2.25;;;
C;82;2;2.03;;;
C;83;2;-0.6;;;
C;84;2;0.32;;;
C;85;2;0.16;;;
C;86;2;4.4;;;
C;87;2;0.94;;;
C;88;2;0.62;;;
C;89;2;3.06;;;
C;90;2;1.3;;;
ST;91;2;-0.97;;;
ST;92;2;-0.77;;;
ST;93;2;-0.73;;;
ST;94;2;-0.66;;;
ST;95;2;1;;;
ST;96;2;-0.81;;;
ST;97;2;-0.86;;;
ST;98;2;-1.51;;;
ST;99;2;-1.14;;;
ST;100;2;-0.74;;;
PST1;1;4;2.36;-0.15;;
PST1;2;4;-1.22;-0.06;;
PST1;3;4;-1.55;-0.26;;
PST1;4;4;-0.01;-0.59;;
PST1;5;4;1.04;-0.97;;
PST1;6;4;-0.92;-0.26;;
PST1;7;4;0.03;-0.76;;
PST1;8;4;0.77;-1.13;;
PST1;9;4;-1.13;-0.09;;
PST1;10;4;-0.77;-0.59;;
PST2;11;4;-1.81;-0.6;;
PST2;12;4;-0.17;-0.46;;
PST2;13;4;-1.41;-0.38;;
PST2;14;4;0.15;-0.91;;
PST2;15;4;0.64;-0.54;;
PST2;16;4;-1.13;-0.14;;
PST2;17;4;-0.78;-0.21;;
PST2;18;4;-0.88;-0.13;;
PST2;19;4;-1.73;-0.71;;
PST2;20;4;0.64;-2.19;;
PST3;21;4;1.67;-0.21;;
PST3;22;4;-1.45;-0.17;;
PST3;23;4;0.55;-0.12;;
PST3;24;4;-1.73;-1.45;;
PST3;25;4;0.37;-0.23;;
PST3;26;4;0.13;-0.21;;
PST3;27;4;5.77;-0.14;;
PST3;28;4;-0.33;-0.19;;
PST3;29;4;1.84;-0.17;;
PST3;30;4;1.25;-0.14;;
PST4;31;4;-1.31;-0.13;;
PST4;32;4;-1.32;-1.93;;
PST4;33;4;-0.46;-0.97;;
PST4;34;4;0.6;-0.03;;
PST4;35;4;0.53;-2.94;;
PST4;36;4;2.56;-0.08;;
PST4;37;4;-0.48;0.02;;
PST4;38;4;-0.78;-0.41;;
PST4;39;4;-1.96;-3.14;;
PST4;40;4;1.3;-2.5;;
PST1+C;41;4;2.93;0.03;;
PST1+C;42;4;2.13;0.37;;
PST1+C;43;4;2.37;-0.09;;
PST1+C;44;4;-0.94;-0.13;;
PST1+C;45;4;3.06;0.06;;
PST1+C;46;4;1.56;0.12;;
PST1+C;47;4;-2.37;-0.67;;
PST1+C;48;4;2.64;-0.35;;
PST1+C;49;4;4.09;0.05;;
PST1+C;50;4;3.15;0.22;;
PST2+C;51;4;3.18;0.53;;
PST2+C;52;4;1.38;0.19;;
PST2+C;53;4;-1.29;-1.25;;
PST2+C;54;4;-0.27;-0.02;;
PST2+C;55;4;1.99;0.16;;
PST2+C;56;4;0.64;0.3;;
PST2+C;57;4;1.9;0.12;;
PST2+C;58;4;2.44;-0.39;;
PST2+C;59;4;0.66;-0.28;;
PST2+C;60;4;2.82;-0.11;;
PST3+C;61;4;3.07;-0.27;;
PST3+C;62;4;1.09;-0.13;;
PST3+C;63;4;2.36;0.12;;
PST3+C;64;4;2.2;0.18;;
PST3+C;65;4;0.84;0.27;;
PST3+C;66;4;1.39;0.17;;
PST3+C;67;4;-1.34;0.28;;
PST3+C;68;4;0.91;0.2;;
PST3+C;69;4;1.18;0.36;;
PST3+C;70;4;0.96;0.26;;
PST4+C;71;4;1.22;0.11;;
PST4+C;72;4;0.05;-3.21;;
PST4+C;73;4;1.56;-0.96;;
PST4+C;74;4;1.04;-0.38;;
PST4+C;75;4;1.18;-0.18;;
PST4+C;76;4;2.39;0.06;;
PST4+C;77;4;1.47;-0.93;;
PST4+C;78;4;1.48;-0.04;;
PST4+C;79;4;2.73;0.44;;
PST4+C;80;4;-1.25;0.21;;
C;81;4;1.71;;;
C;82;4;2.66;;;
C;83;4;1.26;;;
C;84;4;-0.08;;;
C;85;4;2.8;;;
C;86;4;6.29;;;
C;87;4;3.29;;;
C;88;4;0.54;;;
C;89;4;4.36;;;
C;90;4;1.2;;;
ST;91;4;-1.85;;;
ST;92;4;-1.98;;;
ST;93;4;0.05;;;
ST;94;4;-1.34;;;
ST;95;4;0.47;;;
ST;96;4;-1.4;;;
ST;97;4;-1.68;;;
ST;98;4;-4.23;;;
ST;99;4;-1.62;;;
ST;100;4;-1.54;;;
PST1;1;7;1.28;-0.33;;
PST1;2;7;-2.17;-0.18;;
PST1;3;7;-2.25;-0.38;;
PST1;4;7;-0.34;-0.67;;
PST1;5;7;-0.4;-4.07;;
PST1;6;7;-1.83;-0.31;;
PST1;7;7;-0.64;-0.73;;
PST1;8;7;0.15;-1.25;;
PST1;9;7;-2.74;-0.13;;
PST1;10;7;-1.98;-1.31;;
PST2;11;7;-2.99;-0.69;;
PST2;12;7;-0.35;-0.58;;
PST2;13;7;0.08;-0.63;;
PST2;14;7;-1.41;-1.66;;
PST2;15;7;0.85;-0.77;;
PST2;16;7;-1.85;-0.28;;
PST2;17;7;-1.61;-0.26;;
PST2;18;7;-0.66;-0.24;;
PST2;19;7;-2.63;-1.03;;
PST2;20;7;0.98;-2.14;;
PST3;21;7;1.36;-0.31;;
PST3;22;7;-1.51;-0.22;;
PST3;23;7;1.05;-0.24;;
PST3;24;7;-1.41;-2.66;;
PST3;25;7;-0.26;-0.31;;
PST3;26;7;0.27;-0.27;;
PST3;27;7;4.71;-0.21;;
PST3;28;7;0.91;-0.36;;
PST3;29;7;1.29;-0.22;;
PST3;30;7;0.33;-0.2;;
PST4;31;7;-2.19;-0.14;;
PST4;32;7;-0.51;-5.13;;
PST4;33;7;0.22;-1.2;;
PST4;34;7;0.58;-0.22;;
PST4;35;7;0.75;-5.01;;
PST4;36;7;1.45;-0.13;;
PST4;37;7;-0.73;-0.01;;
PST4;38;7;-1.95;-0.52;;
PST4;39;7;-1.62;-3.89;;
PST4;40;7;0.78;-2.87;;
PST1+C;41;7;1.9;0.09;;
PST1+C;42;7;3.22;-0.02;;
PST1+C;43;7;2.25;-0.26;;
PST1+C;44;7;-3.6;0.31;;
PST1+C;45;7;3.07;0.19;;
PST1+C;46;7;3.98;0.03;;
PST1+C;47;7;-1.79;-0.77;;
PST1+C;48;7;3.79;-0.61;;
PST1+C;49;7;3.03;-0.21;;
PST1+C;50;7;2.98;0.22;;
PST2+C;51;7;2.37;-0.02;;
PST2+C;52;7;1.81;-0.33;;
PST2+C;53;7;-0.62;-1.96;;
PST2+C;54;7;-1.09;0.27;;
PST2+C;55;7;3.47;0.18;;
PST2+C;56;7;2.26;0.36;;
PST2+C;57;7;1.42;0.04;;
PST2+C;58;7;3.17;-0.6;;
PST2+C;59;7;1.32;-0.17;;
PST2+C;60;7;2.96;-0.36;;
PST3+C;61;7;2.9;-0.44;;
PST3+C;62;7;0.21;-0.4;;
PST3+C;63;7;3.16;0.24;;
PST3+C;64;7;4.57;0.27;;
PST3+C;65;7;3;0.25;;
PST3+C;66;7;0.3;0.15;;
PST3+C;67;7;-2.22;0.27;;
PST3+C;68;7;0.77;0.34;;
PST3+C;69;7;3;0.43;;
PST3+C;70;7;1.39;0.28;;
PST4+C;71;7;0.28;0.16;;
PST4+C;72;7;-0.03;-5.53;;
PST4+C;73;7;1.88;-1.32;;
PST4+C;74;7;0.88;-0.58;;
PST4+C;75;7;1.23;-0.26;;
PST4+C;76;7;2.36;-0.22;;
PST4+C;77;7;0.59;-0.87;;
PST4+C;78;7;1.36;-0.15;;
PST4+C;79;7;2.36;-0.43;;
PST4+C;80;7;-1.93;0.15;;
C;81;7;0.67;;;
C;82;7;2.54;;;
C;83;7;0.88;;;
C;84;7;-0.67;;;
C;85;7;2.89;;;
C;86;7;5.56;;;
C;87;7;2.21;;;
C;88;7;0.79;;;
C;89;7;3.66;;;
C;90;7;1.55;;;
ST;91;7;-2.64;;;
ST;92;7;-2.79;;;
ST;93;7;-0.82;;;
ST;94;7;-2.12;;;
ST;95;7;0.19;;;
ST;96;7;-2.39;;;
ST;97;7;-2.83;;;
ST;98;7;-3.12;;;
ST;99;7;-2.61;;;
ST;100;7;-3.65;;;
PST1;1;9;2.2;-0.15;;
PST1;2;9;-2.83;-0.05;;
PST1;3;9;-2.9;-0.37;;
PST1;4;9;0.26;-0.69;;
PST1;5;9;-1.5;-6.7;;
PST1;6;9;-2.33;-0.2;;
PST1;7;9;0.04;-0.88;;
PST1;8;9;-0.54;-1.86;;
PST1;9;9;-2.14;-0.19;;
PST1;10;9;-2.21;-1.52;;
PST2;11;9;-3.74;-0.84;;
PST2;12;9;-0.41;-0.65;;
PST2;13;9;0.77;-0.64;;
PST2;14;9;-0.15;-2.03;;
PST2;15;9;0.42;-0.89;;
PST2;16;9;-0.62;-0.1;;
PST2;17;9;-0.58;-0.21;;
PST2;18;9;-1.23;-0.12;;
PST2;19;9;-2.03;-0.93;;
PST2;20;9;0.36;-2.4;;
PST3;21;9;1.44;-0.28;;
PST3;22;9;-2.15;-0.15;;
PST3;23;9;0.61;-0.15;;
PST3;24;9;1.8;-2.8;;
PST3;25;9;-0.77;-0.22;;
PST3;26;9;1.04;-0.24;;
PST3;27;9;4.44;-0.18;;
PST3;28;9;1.06;-0.3;;
PST3;29;9;1.64;-0.2;;
PST3;30;9;-0.15;-0.15;;
PST4;31;9;-2.69;0.04;;
PST4;32;9;-0.09;-6.2;;
PST4;33;9;-0.39;-1.13;;
PST4;34;9;-0.01;-0.22;;
PST4;35;9;1.3;-5.35;;
PST4;36;9;0.72;-0.14;;
PST4;37;9;-1.34;0.02;;
PST4;38;9;-0.42;-0.63;;
PST4;39;9;-1.63;-6.7;;
PST4;40;9;-0.09;-4.8;;
PST1+C;41;9;1.95;0.06;;
PST1+C;42;9;3.45;-0.07;;
PST1+C;43;9;1.79;-0.19;;
PST1+C;44;9;;;;
PST1+C;45;9;2.53;0.19;;
PST1+C;46;9;4.89;0.08;;
PST1+C;47;9;-1.76;-0.47;;
PST1+C;48;9;3.49;-0.76;;
PST1+C;49;9;2.95;-0.16;;
PST1+C;50;9;3.18;0.29;;
PST2+C;51;9;1.73;0.54;;
PST2+C;52;9;2.36;0.08;;
PST2+C;53;9;2.36;-1.85;;
PST2+C;54;9;1.48;0.08;;
PST2+C;55;9;2.8;0.26;;
PST2+C;56;9;2.67;0.52;;
PST2+C;57;9;1.35;0.15;;
PST2+C;58;9;2.91;-0.36;;
PST2+C;59;9;1.81;-0.24;;
PST2+C;60;9;2.65;-0.66;;
PST3+C;61;9;2.92;-0.31;;
PST3+C;62;9;-0.53;-0.89;;
PST3+C;63;9;3.37;0.27;;
PST3+C;64;9;5.15;0.37;;
PST3+C;65;9;2.49;0.33;;
PST3+C;66;9;1.34;3.25;;
PST3+C;67;9;-3.13;0.31;;
PST3+C;68;9;1.27;0.41;;
PST3+C;69;9;3.59;0.55;;
PST3+C;70;9;1.42;0.34;;
PST4+C;71;9;-0.49;-0.06;;
PST4+C;72;9;-0.84;-6.12;;
PST4+C;73;9;2.47;-1.4;;
PST4+C;74;9;1.06;-0.59;;
PST4+C;75;9;0.81;-0.26;;
PST4+C;76;9;3.7;-0.45;;
PST4+C;77;9;0.36;-0.9;;
PST4+C;78;9;2.34;-0.62;;
PST4+C;79;9;2.14;-0.68;;
PST4+C;80;9;-1.83;0.15;;
C;81;9;-0.14;;;
C;82;9;1.31;;;
C;83;9;0.9;;;
C;84;9;-1.01;;;
C;85;9;2.7;;;
C;86;9;5.02;;;
C;87;9;3.52;;;
C;88;9;1.79;;;
C;89;9;3.5;;;
C;90;9;0.81;;;
ST;91;9;-3.39;;;
ST;92;9;-3.35;;;
ST;93;9;-1.44;;;
ST;94;9;-2.64;;;
ST;95;9;-0.37;;;
ST;96;9;-2.99;;;
ST;97;9;-3.52;;;
ST;98;9;-3.67;;;
ST;99;9;-2.21;;;
ST;100;9;-1.99;;;
PST1;1;11;1.65;-0.34;;
PST1;2;11;-3.37;-0.14;;
PST1;3;11;-2.62;-0.35;;
PST1;4;11;-0.3;-0.75;;
PST1;5;11;-1.24;-8.8;;
PST1;6;11;-2.91;-0.32;;
PST1;7;11;-0.53;-1.1;;
PST1;8;11;-0.67;-2.24;;
PST1;9;11;-0.44;-0.33;;
PST1;10;11;-2.24;-1.56;;
PST2;11;11;-3.22;-1.63;;
PST2;12;11;-0.18;-0.71;;
PST2;13;11;1.44;-0.81;;
PST2;14;11;-0.84;-2.23;;
PST2;15;11;-0.29;-0.7;;
PST2;16;11;-1.09;-0.26;;
PST2;17;11;-0.11;-0.29;;
PST2;18;11;-1.09;-0.22;;
PST2;19;11;-0.86;-1.15;;
PST2;20;11;-0.15;-2.34;;
PST3;21;11;1.19;-0.37;;
PST3;22;11;0.79;-0.23;;
PST3;23;11;0.16;-0.22;;
PST3;24;11;1.37;-2.9;;
PST3;25;11;-0.1;-0.29;;
PST3;26;11;1.09;-0.32;;
PST3;27;11;4.06;-0.23;;
PST3;28;11;1;-0.35;;
PST3;29;11;1.09;-0.25;;
PST3;30;11;-0.59;-0.2;;
PST4;31;11;-1.75;-0.21;;
PST4;32;11;-0.73;-8.64;;
PST4;33;11;-0.61;-1.22;;
PST4;34;11;0.36;-1.4;;
PST4;35;11;0.97;-6.28;;
PST4;36;11;0.26;-0.15;;
PST4;37;11;-0.12;-0.05;;
PST4;38;11;-1.13;-0.75;;
PST4;39;11;-2.27;-6.61;;
PST4;40;11;-0.98;-4.8;;
PST1+C;41;11;2.84;0.04;;
PST1+C;42;11;3.21;-1.09;;
PST1+C;43;11;2.23;-0.7;;
PST1+C;44;11;;;;
PST1+C;45;11;2.65;0.03;;
PST1+C;46;11;4.57;-0.17;;
PST1+C;47;11;0.64;-0.56;;
PST1+C;48;11;2.41;-1.25;;
PST1+C;49;11;3.27;-0.11;;
PST1+C;50;11;3.65;0.25;;
PST2+C;51;11;1.57;0;;
PST2+C;52;11;1.65;-0.24;;
PST2+C;53;11;3;-2.24;;
PST2+C;54;11;0.93;-0.07;;
PST2+C;55;11;2.58;0.24;;
PST2+C;56;11;2.84;0.62;;
PST2+C;57;11;1.24;0.07;;
PST2+C;58;11;2.86;-0.41;;
PST2+C;59;11;0.58;-0.23;;
PST2+C;60;11;2.49;-0.73;;
PST3+C;61;11;2.71;-0.15;;
PST3+C;62;11;-0.05;-1.05;;
PST3+C;63;11;3.63;0.31;;
PST3+C;64;11;4.35;0.24;;
PST3+C;65;11;2.86;0.11;;
PST3+C;66;11;0.97;0.2;;
PST3+C;67;11;;;;
PST3+C;68;11;1.09;0.39;;
PST3+C;69;11;3.93;0.6;;
PST3+C;70;11;1.65;0.34;;
PST4+C;71;11;1.19;-0.07;;
PST4+C;72;11;-0.36;-8.57;;
PST4+C;73;11;2.38;-1.58;;
PST4+C;74;11;0.72;-0.85;;
PST4+C;75;11;1.13;-0.46;;
PST4+C;76;11;3.75;-0.38;;
PST4+C;77;11;1.71;-1.04;;
PST4+C;78;11;2.03;-0.72;;
PST4+C;79;11;2.01;-0.83;;
PST4+C;80;11;0.35;0.1;;
C;81;11;-0.51;;;
C;82;11;2.51;;;
C;83;11;0.97;;;
C;84;11;-1.02;;;
C;85;11;2.6;;;
C;86;11;4.76;;;
C;87;11;3.14;;;
C;88;11;1.25;;;
C;89;11;4.51;;;
C;90;11;0.81;;;
ST;91;11;-2.13;;;
ST;92;11;-2.19;;;
ST;93;11;-1.96;;;
ST;94;11;-3.07;;;
ST;95;11;-0.79;;;
ST;96;11;-0.52;;;
ST;97;11;-1.91;;;
ST;98;11;-4.07;;;
ST;99;11;-2.61;;;
ST;100;11;-2.45;;;
PST1;1;14;0.69;-0.37;;
PST1;2;14;-4.2;-0.22;;
PST1;3;14;-3.56;-0.54;;
PST1;4;14;-1.3;-0.87;;
PST1;5;14;0.79;-9.84;;
PST1;6;14;-3.28;-0.36;;
PST1;7;14;-1.37;-1.15;;
PST1;8;14;-1.04;-2.36;;
PST1;9;14;-1.37;-0.45;;
PST1;10;14;-3.23;-1.85;;
PST2;11;14;-4.43;-1.43;;
PST2;12;14;-1.09;-0.73;;
PST2;13;14;0.23;-0.88;;
PST2;14;14;-1.84;-1.93;;
PST2;15;14;-0.42;-0.86;;
PST2;16;14;-1.81;-0.31;;
PST2;17;14;-0.84;-0.38;;
PST2;18;14;-1.87;-0.26;;
PST2;19;14;-2.23;-1.18;;
PST2;20;14;-0.95;-2.72;;
PST3;21;14;0.98;-0.44;;
PST3;22;14;-0.11;-0.31;;
PST3;23;14;-0.03;-0.29;;
PST3;24;14;0.39;-3.05;;
PST3;25;14;0.11;-0.36;;
PST3;26;14;-0.58;-0.37;;
PST3;27;14;2.44;-0.24;;
PST3;28;14;0.65;-0.38;;
PST3;29;14;0.15;-0.23;;
PST3;30;14;-1.26;-0.31;;
PST4;31;14;-2.63;-0.23;;
PST4;32;14;-1.66;-9.68;;
PST4;33;14;-0.78;-1.32;;
PST4;34;14;-0.56;-2.22;;
PST4;35;14;0.77;-6.29;;
PST4;36;14;-0.57;-0.14;;
PST4;37;14;-0.26;0.05;;
PST4;38;14;-2.36;-0.68;;
PST4;39;14;-3.33;-6.99;;
PST4;40;14;-2.24;-5.05;;
PST1+C;41;14;2.87;0.01;;
PST1+C;42;14;3.26;-1.12;;
PST1+C;43;14;2;-0.59;;
PST1+C;44;14;;;;
PST1+C;45;14;3.12;-0.13;;
PST1+C;46;14;3.61;-0.34;;
PST1+C;47;14;-0.17;-0.39;;
PST1+C;48;14;0.98;-1.33;;
PST1+C;49;14;3.22;-0.13;;
PST1+C;50;14;2.96;0.04;;
PST2+C;51;14;2;0.33;;
PST2+C;52;14;1.32;-0.14;;
PST2+C;53;14;1.37;-2.74;;
PST2+C;54;14;-0.15;-0.15;;
PST2+C;55;14;2.24;0.19;;
PST2+C;56;14;2.25;0.5;;
PST2+C;57;14;1.32;0.34;;
PST2+C;58;14;1.7;-0.53;;
PST2+C;59;14;-0.14;-0.32;;
PST2+C;60;14;2.57;-0.96;;
PST3+C;61;14;1.99;-0.17;;
PST3+C;62;14;2.48;-1.04;;
PST3+C;63;14;3.14;-0.03;;
PST3+C;64;14;4.47;0.25;;
PST3+C;65;14;1.78;0.04;;
PST3+C;66;14;1;0.14;;
PST3+C;67;14;;;;
